Rank,Title,Lifetime Gross,Year
152,Logan,619021436,2017
153,The Lost World: Jurassic Park,618638999,1997
154,The Passion of the Christ,610061517,2004
155,Mamma Mia!,609896805,2008
156,Casino Royale,609447995,2006
157,Life of Pi,609016565,2012
158,Transformers: The Last Knight,605425157,2017
159,Madagascar: Escape 2 Africa,603900354,2008
160,Tangled,591794936,2010
161,War of the Worlds,591745532,2005
162,Men in Black,589390539,1997
163,The Croods,587204668,2013
164,The Hangover Part II,586764305,2011
165,Quantum of Solace,586090727,2008
166,Iron Man,585366247,2008
167,I Am Legend,585349010,2007
168,Ready Player One,582890172,2018
169,Hong hai xing dong,579220560,2018
170,Night at the Museum,574480841,2006
171,Fifty Shades of Grey,569651467,2015
172,Kong: Skull Island,566652812,2017
173,The Smurfs,563749323,2011
174,Cars 2,559852396,2011
175,Puss in Boots,554987477,2011
176,Mei ren yu,553810228,2016
177,Armageddon,553709788,1998
178,King Kong,550517357,2005
179,Ted,549368315,2012
180,Star Wars: Episode V - The Empire Strikes Back,547879454,1980
181,American Sniper,547426372,2014
182,Mission: Impossible II,546388105,2000
183,Tang ren jie tan an 2,544061916,2018
184,X-Men: Apocalypse,543934105,2016
185,Sherlock Holmes: A Game of Shadows,543848418,2011
186,Despicable Me,543113985,2010
187,The Day After Tomorrow,542771772,2004
188,Cinderella,542351353,2015
189,Madagascar,542063846,2005
190,World War Z,540007876,2013
191,Brave,538983207,2012
192,The Revenant,532950503,2015
193,The Meg,530243742,2018
194,Ralph Breaks the Internet,529323962,2018
195,Hotel Transylvania 3: Summer Vacation,528583774,2018
196,The Boss Baby,527965936,2017
197,The Simpsons Movie,527071022,2007
198,Dunkirk,526940665,2017
199,Godzilla,524976069,2014
200,Sherlock Holmes,524028679,2009
